Opname,Meterstand
20-4-2023,1730290
23-3-2023,1697751
20-2-2023,1654123
24-1-2023,1622303
19-12-2022,1570596
23-11-2022,1532653
28-10-2022,1504011
23-9-2022,1469320
23-8-2022,1437165
20-7-2022,1406492
28-6-2022,1388641
23-5-2022,1340980
21-4-2022,1293698
23-3-2022,1242580
21-2-2022,1201754
24-1-2022,1162205
27-12-2021,1131369
22-11-2021,1080025
18-10-2021,1021902
22-9-2021,993908
18-8-2021,970752
27-7-2021,952200
22-6-2021,930410
21-5-2021,902366
23-4-2021,873637
23-3-2021,826103
22-2-2021,791244
26-1-2021,762010
17-12-2020,708431
23-11-2020,672500
26-10-2020,656092
23-9-2020,608276
21-8-2020,575804
27-7-2020,559581
22-6-2020,523384
20-5-2020,512815
27-4-2020,509181
30-3-2020,501456
20-2-2020,456083
23-1-2020,413968
17-12-2019,359878
25-11-2019,328242
23-10-2019,289969
23-9-2019,266537
26-8-2019,247581
5/8/2019,232592
20-6-2019,202313
22-5-2019,178393
23-4-2019,148703
25-3-2019,119899
20-2-2019,97819
28-1-2019,63429
17-12-2018,27667
23-11-2018,6556
